Date,Time,Block,import
02-05-2016,08:15-08:30,34,1252
02-05-2016,08:30-08:45,35,1284
02-05-2016,08:45-09:00,36,1268
02-05-2016,09:00-09:15,37,1284
02-05-2016,09:15-09:30,38,1324
02-05-2016,09:30-09:45,39,1332
02-05-2016,09:45-10:00,40,1360
02-05-2016,10:00-10:15,41,1384
02-05-2016,10:15-10:30,42,1404
02-05-2016,10:30-10:45,43,1408
02-05-2016,10:45-11:00,44,1368
02-05-2016,11:00-11:15,45,1396
02-05-2016,11:15-11:30,46,1420
02-05-2016,11:30-11:45,47,1444
02-05-2016,11:45-12:00,48,1484
02-05-2016,12:00-12:15,49,1792
02-05-2016,12:15-12:30,50,1812
02-05-2016,12:30-12:45,51,1784
02-05-2016,12:45-13:00,52,1792
02-05-2016,13:00-13:15,53,1744
02-05-2016,13:15-13:30,54,1720
02-05-2016,13:30-13:45,55,1688
02-05-2016,13:45-14:00,56,1676
02-05-2016,14:00-14:15,57,1648
02-05-2016,14:15-14:30,58,1660
02-05-2016,14:30-14:45,59,1652
02-05-2016,14:45-15:00,60,1640
02-05-2016,15:00-15:15,61,1596
02-05-2016,15:15-15:30,62,1600
02-05-2016,15:30-15:45,63,1620
02-05-2016,15:45-16:00,64,1640
02-05-2016,16:00-16:15,65,1644
02-05-2016,16:15-16:30,66,1660
02-05-2016,16:30-16:45,67,1640
02-05-2016,16:45-17:00,68,1652
02-05-2016,17:00-17:15,69,1660
02-05-2016,17:15-17:30,70,1692
02-05-2016,17:30-17:45,71,1684
02-05-2016,17:45-18:00,72,1652
02-05-2016,18:00-18:15,73,1492
02-05-2016,18:15-18:30,74,1460
02-05-2016,18:30-18:45,75,1512
02-05-2016,18:45-19:00,76,1524
02-05-2016,19:00-19:15,77,1500
02-05-2016,19:15-19:30,78,1504
02-05-2016,19:30-19:45,79,1496
02-05-2016,19:45-20:00,80,1504
02-05-2016,20:00-20:15,81,1492
02-05-2016,20:15-20:30,82,1472
02-05-2016,20:30-20:45,83,1448
02-05-2016,20:45-21:00,84,1444
02-05-2016,21:00-21:15,85,1452
02-05-2016,21:15-21:30,86,1432
02-05-2016,21:30-21:45,87,1428
02-05-2016,21:45-22:00,88,1404
02-05-2016,22:00-22:15,89,1376
02-05-2016,22:15-22:30,90,1352
02-05-2016,22:30-22:45,91,1340
02-05-2016,22:45-23:00,92,1340
02-05-2016,23:00-23:15,93,1340
02-05-2016,23:15-23:30,94,1272
02-05-2016,23:30-23:45,95,1180
02-05-2016,23:45-00:00,96,1132
03-05-2016,00:00-00:15,1,1064
03-05-2016,00:15-00:30,2,1056
03-05-2016,00:30-00:45,3,1084
03-05-2016,00:45-01:00,4,1064
03-05-2016,01:00-01:15,5,1060
