,Point.Forecast,Lo.90,Hi.90,Lo.95,Hi.95
41353,2217.530197,-175.7737084,4610.834102,-634.2673014,5069.327696
41354,2217.530197,-183.0603736,4618.120768,-642.9498986,5078.010293
41355,2217.530197,-190.3249881,4625.385382,-651.6062206,5086.666615
41356,2217.530197,-197.5677506,4632.628145,-660.2365045,5095.296899
41357,2217.530197,-204.7888573,4639.849251,-668.8409838,5103.901378
41358,2217.530197,-211.9885012,4647.048895,-677.4198887,5112.480283
41359,2217.530197,-219.1668727,4654.227267,-685.9734459,5121.03384
41360,2217.530197,-226.3241591,4661.384553,-694.5018786,5129.562273
41361,2217.530197,-233.4605451,4668.520939,-703.0054071,5138.065801
41362,2217.530197,-240.5762129,4675.636607,-711.4842482,5146.544642
41363,2217.530197,-247.6713417,4682.731736,-719.9386157,5154.99901
41364,2217.530197,-254.7461085,4689.806503,-728.3687203,5163.429114
41365,2217.530197,-261.8006876,4696.861082,-736.7747697,5171.835164
41366,2217.530197,-268.8352507,4703.895645,-745.1569686,5180.217363
41367,2217.530197,-275.8499673,4710.910361,-753.515519,5188.575913
41368,2217.530197,-282.8450045,4717.905399,-761.8506199,5196.911014
41369,2217.530197,-289.8205268,4724.880921,-770.1624675,5205.222862
41370,2217.530197,-296.7766969,4731.837091,-778.4512553,5213.511649
41371,2217.530197,-303.7136748,4738.774069,-786.7171743,5221.777568
41372,2217.530197,-310.6316185,4745.692013,-794.9604126,5230.020807
41373,2217.530197,-317.5306838,4752.591078,-803.1811561,5238.24155
41374,2217.530197,-324.4110246,4759.471419,-811.3795877,5246.439982
41375,2217.530197,-331.2727923,4766.333186,-819.5558882,5254.616282
41376,2217.530197,-338.1161366,4773.176531,-827.710236,5262.77063
41377,2217.530197,-344.9412051,4780.001599,-835.8428067,5270.903201
41378,2217.530197,-351.7481435,4786.808538,-843.9537741,5279.014168
41379,2217.530197,-358.5370955,4793.59749,-852.0433093,5287.103703
41380,2217.530197,-365.3082028,4800.368597,-860.1115813,5295.171975
41381,2217.530197,-372.0616056,4807.122,-868.158757,5303.219151
41382,2217.530197,-378.7974418,4813.857836,-876.185001,5311.245395
41383,2217.530197,-385.515848,4820.576242,-884.1904757,5319.25087
41384,2217.530197,-392.2169587,4827.277353,-892.1753416,5327.235736
41385,2217.530197,-398.9009068,4833.961301,-900.1397571,5335.200151
41386,2217.530197,-405.5678236,4840.628218,-908.0838783,5343.144272
41387,2217.530197,-412.2178384,4847.278232,-916.0078597,5351.068254
41388,2217.530197,-418.8510793,4853.911473,-923.9118538,5358.972248
41389,2217.530197,-425.4676725,4860.528067,-931.7960109,5366.856405
41390,2217.530197,-432.0677428,4867.128137,-939.6604797,5374.720874
41391,2217.530197,-438.6514133,4873.711807,-947.505407,5382.565801
41392,2217.530197,-445.2188057,4880.2792,-955.3309376,5390.391332
41393,2217.530197,-451.77004,4886.830434,-963.1372149,5398.197609
41394,2217.530197,-458.3052351,4893.365629,-970.9243801,5405.984774
41395,2217.530197,-464.8245081,4899.884902,-978.692573,5413.752967
41396,2217.530197,-471.3279749,4906.388369,-986.4419316,5421.502326
41397,2217.530197,-477.8157498,4912.876144,-994.1725922,5429.232986
41398,2217.530197,-484.2879458,4919.34834,-1001.88469,5436.945084
41399,2217.530197,-490.7446748,4925.805069,-1009.578357,5444.638751
41400,2217.530197,-497.186047,4932.246441,-1017.253725,5452.314119
41401,2217.530197,-503.6121715,4938.672566,-1024.910925,5459.971319
41402,2217.530197,-510.0231561,4945.08355,-1032.550084,5467.610478
41403,2217.530197,-516.4191073,4951.479501,-1040.17133,5475.231724
41404,2217.530197,-522.8001303,4957.860524,-1047.774788,5482.835182
41405,2217.530197,-529.1663292,4964.226723,-1055.360582,5490.420976
41406,2217.530197,-535.5178068,4970.578201,-1062.928834,5497.989228
41407,2217.530197,-541.8546648,4976.915059,-1070.479666,5505.54006
41408,2217.530197,-548.1770037,4983.237398,-1078.013197,5513.073592
41409,2217.530197,-554.4849228,4989.545317,-1085.529547,5520.589941
41410,2217.530197,-560.7785203,4995.838914,-1093.028831,5528.089225
41411,2217.530197,-567.0578933,5002.118287,-1100.511165,5535.571559
41412,2217.530197,-573.3231379,5008.383532,-1107.976665,5543.037059
41413,2217.530197,-579.574349,5014.634743,-1115.425442,5550.485836
41414,2217.530197,-585.8116205,5020.872015,-1122.857609,5557.918003
41415,2217.530197,-592.0350452,5027.095439,-1130.273277,5565.333671
41416,2217.530197,-598.2447149,5033.305109,-1137.672555,5572.732949
41417,2217.530197,-604.4407204,5039.501114,-1145.055551,5580.115945
41418,2217.530197,-610.6231516,5045.683546,-1152.422372,5587.482766
41419,2217.530197,-616.7920972,5051.852491,-1159.773124,5594.833518
41420,2217.530197,-622.9476451,5058.008039,-1167.107912,5602.168306
41421,2217.530197,-629.0898823,5064.150276,-1174.426839,5609.487233
41422,2217.530197,-635.2188947,5070.279289,-1181.730008,5616.790402
41423,2217.530197,-641.3347674,5076.395161,-1189.017519,5624.077914
41424,2217.530197,-647.4375845,5082.497979,-1196.289475,5631.349869
41425,2217.530197,-653.5274292,5088.587823,-1203.545972,5638.606366
41426,2217.530197,-659.604384,5094.664778,-1210.78711,5645.847505
41427,2217.530197,-665.6685304,5100.728924,-1218.012987,5653.073381
41428,2217.530197,-671.719949,5106.780343,-1225.223696,5660.284091
41429,2217.530197,-677.7587195,5112.819114,-1232.419335,5667.47973
41430,2217.530197,-683.7849211,5118.845315,-1239.599998,5674.660392
41431,2217.530197,-689.7986318,5124.859026,-1246.765776,5681.82617
41432,2217.530197,-695.799929,5130.860323,-1253.916762,5688.977157
41433,2217.530197,-701.7888893,5136.849283,-1261.053049,5696.113443
41434,2217.530197,-707.7655883,5142.825982,-1268.174725,5703.235119
41435,2217.530197,-713.7301012,5148.790495,-1275.28188,5710.342275
41436,2217.530197,-719.6825022,5154.742896,-1282.374604,5717.434998
41437,2217.530197,-725.6228647,5160.683259,-1289.452982,5724.513376
41438,2217.530197,-731.5512615,5166.611656,-1296.517103,5731.577497
41439,2217.530197,-737.4677646,5172.528159,-1303.567051,5738.627445
41440,2217.530197,-743.3724454,5178.432839,-1310.602912,5745.663306
41441,2217.530197,-749.2653743,5184.325768,-1317.62477,5752.685164
41442,2217.530197,-755.1466213,5190.207015,-1324.632708,5759.693102
41443,2217.530197,-761.0162556,5196.07665,-1331.626809,5766.687203
41444,2217.530197,-766.8743457,5201.93474,-1338.607154,5773.667548
41445,2217.530197,-772.7209595,5207.781354,-1345.573824,5780.634218
41446,2217.530197,-778.5561641,5213.616558,-1352.526899,5787.587293
41447,2217.530197,-784.3800261,5219.44042,-1359.466458,5794.526852
41448,2217.530197,-790.1926114,5225.253005,-1366.392581,5801.452975
41449,2217.530197,-795.9939851,5231.054379,-1373.305344,5808.365738
41450,2217.530197,-801.784212,5236.844606,-1380.204825,5815.265219
41451,2217.530197,-807.5633561,5242.62375,-1387.0911,5822.151494
41452,2217.530197,-813.3314807,5248.391875,-1393.964244,5829.024638
41453,2217.530197,-819.0886486,5254.149043,-1400.824333,5835.884727
41454,2217.530197,-824.8349221,5259.895316,-1407.67144,5842.731834
41455,2217.530197,-830.5703627,5265.630757,-1414.505639,5849.566033
41456,2217.530197,-836.2950315,5271.355426,-1421.327003,5856.387397
41457,2217.530197,-842.008989,5277.069383,-1428.135603,5863.195997
41458,2217.530197,-847.712295,5282.772689,-1434.931511,5869.991905
41459,2217.530197,-853.405009,5288.465403,-1441.714798,5876.775192
41460,2217.530197,-859.0871896,5294.147584,-1448.485534,5883.545928
41461,2217.530197,-864.7588952,5299.819289,-1455.243788,5890.304182
41462,2217.530197,-870.4201834,5305.480578,-1461.989629,5897.050023
41463,2217.530197,-876.0711116,5311.131506,-1468.723125,5903.78352
41464,2217.530197,-881.7117362,5316.77213,-1475.444344,5910.504738
41465,2217.530197,-887.3421136,5322.402508,-1482.153353,5917.213747
41466,2217.530197,-892.9622993,5328.022693,-1488.850217,5923.910611
41467,2217.530197,-898.5723484,5333.632742,-1495.535003,5930.595397
41468,2217.530197,-904.1723157,5339.23271,-1502.207775,5937.26817
41469,2217.530197,-909.7622553,5344.822649,-1508.868599,5943.928993
41470,2217.530197,-915.3422208,5350.402615,-1515.517538,5950.577932
41471,2217.530197,-920.9122656,5355.97266,-1522.154656,5957.21505
41472,2217.530197,-926.4724422,5361.532836,-1528.780015,5963.840409
41473,2217.530197,-932.0228029,5367.083197,-1535.393678,5970.454072
41474,2217.530197,-937.5633997,5372.623794,-1541.995706,5977.0561
41475,2217.530197,-943.0942837,5378.154678,-1548.586161,5983.646555
41476,2217.530197,-948.6155059,5383.6759,-1555.165103,5990.225497
41477,2217.530197,-954.1271169,5389.187511,-1561.732592,5996.792987
41478,2217.530197,-959.6291665,5394.689561,-1568.288689,6003.349083
41479,2217.530197,-965.1217043,5400.182098,-1574.833452,6009.893846
41480,2217.530197,-970.6047797,5405.665174,-1581.366939,6016.427333
41481,2217.530197,-976.0784412,5411.138835,-1587.889209,6022.949603
41482,2217.530197,-981.5427372,5416.603131,-1594.400319,6029.460713
41483,2217.530197,-986.9977156,5422.05811,-1600.900327,6035.960721
41484,2217.530197,-992.4434239,5427.503818,-1607.389288,6042.449682
41485,2217.530197,-997.8799092,5432.940303,-1613.86726,6048.927654
41486,2217.530197,-1003.307218,5438.367612,-1620.334298,6055.394692
41487,2217.530197,-1008.725397,5443.785791,-1626.790456,6061.85085
41488,2217.530197,-1014.134492,5449.194886,-1633.23579,6068.296185
41489,2217.530197,-1019.534549,5454.594943,-1639.670355,6074.730749
41490,2217.530197,-1024.925612,5459.986006,-1646.094203,6081.154597
41491,2217.530197,-1030.307726,5465.36812,-1652.507388,6087.567782
41492,2217.530197,-1035.680937,5470.741331,-1658.909963,6093.970357
41493,2217.530197,-1041.045287,5476.105681,-1665.30198,6100.362374
41494,2217.530197,-1046.400821,5481.461215,-1671.683492,6106.743887
41495,2217.530197,-1051.747582,5486.807976,-1678.054551,6113.114945
41496,2217.530197,-1057.085612,5492.146006,-1684.415207,6119.475601
41497,2217.530197,-1062.414955,5497.475349,-1690.765511,6125.825905
41498,2217.530197,-1067.735653,5502.796047,-1697.105513,6132.165907
41499,2217.530197,-1073.047748,5508.108142,-1703.435264,6138.495658
41500,2217.530197,-1078.351281,5513.411675,-1709.754814,6144.815208
41501,2217.530197,-1083.646293,5518.706687,-1716.06421,6151.124604
41502,2217.530197,-1088.932826,5523.99322,-1722.363503,6157.423897
41503,2217.530197,-1094.21092,5529.271314,-1728.65274,6163.713134
41504,2217.530197,-1099.480616,5534.54101,-1734.931969,6169.992363
41505,2217.530197,-1104.741953,5539.802347,-1741.201239,6176.261633
41506,2217.530197,-1109.994971,5545.055365,-1747.460596,6182.52099
41507,2217.530197,-1115.239709,5550.300103,-1753.710087,6188.770481
41508,2217.530197,-1120.476206,5555.536601,-1759.949759,6195.010153
41509,2217.530197,-1125.704502,5560.764896,-1766.179657,6201.240051
41510,2217.530197,-1130.924634,5565.985029,-1772.399828,6207.460222
41511,2217.530197,-1136.136641,5571.197035,-1778.610318,6213.670712
41512,2217.530197,-1141.340561,5576.400955,-1784.81117,6219.871564
41513,2217.530197,-1146.53643,5581.596824,-1791.00243,6226.062824
41514,2217.530197,-1151.724287,5586.784681,-1797.184143,6232.244537
41515,2217.530197,-1156.904167,5591.964562,-1803.356351,6238.416745
41516,2217.530197,-1162.076109,5597.136503,-1809.5191,6244.579494
41517,2217.530197,-1167.240148,5602.300542,-1815.672432,6250.732826
41518,2217.530197,-1172.39632,5607.456714,-1821.81639,6256.876784
41519,2217.530197,-1177.544662,5612.605056,-1827.951017,6263.011411
41520,2217.530197,-1182.685208,5617.745602,-1834.076356,6269.13675
41521,2217.530197,-1187.817995,5622.878389,-1840.192448,6275.252842
41522,2217.530197,-1192.943056,5628.00345,-1846.299336,6281.35973
41523,2217.530197,-1198.060428,5633.120822,-1852.39706,6287.457454
41524,2217.530197,-1203.170143,5638.230537,-1858.485662,6293.546056
41525,2217.530197,-1208.272238,5643.332632,-1864.565183,6299.625577
41526,2217.530197,-1213.366745,5648.427139,-1870.635662,6305.696056
41527,2217.530197,-1218.453699,5653.514093,-1876.697141,6311.757535
41528,2217.530197,-1223.533132,5658.593526,-1882.74966,6317.810054
41529,2217.530197,-1228.605079,5663.665473,-1888.793257,6323.853651
41530,2217.530197,-1233.669572,5668.729966,-1894.827972,6329.888367
41531,2217.530197,-1238.726644,5673.787038,-1900.853845,6335.914239
41532,2217.530197,-1243.776327,5678.836721,-1906.870914,6341.931308
41533,2217.530197,-1248.818654,5683.879048,-1912.879217,6347.939611
41534,2217.530197,-1253.853657,5688.914051,-1918.878793,6353.939187
41535,2217.530197,-1258.881368,5693.941762,-1924.86968,6359.930074
41536,2217.530197,-1263.901817,5698.962211,-1930.851915,6365.912309
41537,2217.530197,-1268.915038,5703.975432,-1936.825535,6371.885929
41538,2217.530197,-1273.92106,5708.981454,-1942.790579,6377.850973
41539,2217.530197,-1278.919915,5713.980309,-1948.747082,6383.807476
41540,2217.530197,-1283.911633,5718.972027,-1954.695081,6389.755475
41541,2217.530197,-1288.896245,5723.956639,-1960.634612,6395.695006
41542,2217.530197,-1293.873781,5728.934175,-1966.565712,6401.626106
41543,2217.530197,-1298.844271,5733.904665,-1972.488417,6407.548811
41544,2217.530197,-1303.807745,5738.868139,-1978.402761,6413.463155
41545,2217.530197,-1308.764233,5743.824627,-1984.308781,6419.369175
41546,2217.530197,-1313.713764,5748.774158,-1990.20651,6425.266905
